,Basic Info,,,,,,,,Budget Breakdown,,,,,,,,,,,,Academic Achievement ,,,,,,,,
School District,Graduation Rate,Number of Students (rounded to the nearest 5),Total # of Schools,Median Family Income,% Recieving Spec Ed Services,% Gifted Students,% Low Income,"% parents with No Degree, Diploma, or Certificate",Classroom instruction budget,Administration,Transportation,Pupil Accomodation,School-funded Activites,School Operations and Maintenance,Instruction/Students,Admin/Students,Transport/Students,Accomodations/Students,School-funded activities/Students,Opertating/students,% G3 Reading ,% G3 Writing,% G3 Math,% G6 Reading ,% G6 Writing,% G6 Math,% G9 Academic Math,% G9 Applied Math,% Passes OSSLT First Attempt
Algoma District School Board,0.785,9800,,55491,20.17500,0.02500,18.47500,7.25000,107013798,5372212,9063685,33141552,3607251,,10919.77531,548.184898,924.8658163,3381.79102,368.0868367,,0.55783,0.47318,0.46083,0.70704,0.68370,0.38481,0.67714,0.35714,0.641111111
Avon Maitland District School Board,0.854,15715,,56643,13.67391,1.87234,14.08696,10.87234,160385578,5550723,12630768,28018416,5902288,,10205.89106,353.2117722,803.7396118,1782.909068,375.5830735,,0.74276,0.70586,0.59448,0.80767,0.78867,0.47467,0.86667,0.60778,0.74889
Bluewater District School Board,0.816,16730,,52667,0.16550,0.00680,0.16960,0.11210,156517625,6092511,14368882,32138552,6091197,,9355.506575,364.1668261,858.869217,1921.01327,364.0882845,,0.69000,0.62000,0.52000,0.73000,0.72000,0.36000,0.82550,0.41875,0.74440
District School Board of Niagara,0.851,37725,,56729,16.55319,0.69565,16.95745,11.21277,359510241,12859408,20048980,29703882,8514273,39626483,9529.761193,340.8723128,531.4507621,787.3792445,225.6931213,1050.403791,0.69000,0.61500,0.52000,0.73121,0.72242,0.36515,0.82556,0.41875,0.74444
District School Board Ontario North East,0.709,6630,,63980,19.26804,0.04124,19.70103,4.96907,82675755,5038447,12657296,25147211,2282383,,12469.94796,759.9467572,1909.094419,3792.942836,344.2508296,,0.84844,0.83065,0.74455,0.86785,0.86342,0.61177,0.83412,0.57688,0.78529
Durham District School Board,0.874,71145,,74045,26.55172,0.00000,19.31034,9.00000,674993870,20466136,22812643,130313928,18384873,,9487.579872,287.6679457,320.6499824,1831.666709,258.4141261,,0.45083,0.37000,0.31583,0.63500,0.58750,0.19167,0.68125,0.34571,0.60750
Grand Erie District School Board,0.759,26530,,60854,14.34375,1.45313,14.32813,3.42969,256012103,7788475,12929172,45252704,8083298,,9649.909649,293.5723709,487.3415756,1705.718206,304.6851866,,0.74720,0.71430,0.61280,0.84074,0.83676,0.50343,0.83333,0.48278,0.77316
Greater Essex County District School Board,0.85,36610,,58780,21.39437,0.16901,16.74648,7.35211,354310501,10699360,13807476,63559242,9304734,,9677.970527,292.2523901,377.1503961,1736.116963,254.1582628,,0.61473,0.53327,0.46855,0.70546,0.69055,0.32509,0.75833,0.51083,0.57769
Halton District School Board,0.927,65300,,79570,14.69565,0.18841,24.15942,9.72464,608003421,17855416,17344168,106751948,20098426,,9310.925283,273.4366922,265.6074732,1634.792466,307.7860031,,0.68759,0.64759,0.54907,0.76074,0.76463,0.44389,0.86000,0.51571,0.70286
Hamilton-Wentworth District School Board,0.805,50075,,66103,15.34951,0.87379,22.94175,8.26214,491870000,14347000,23570000,97303000,11078000,,9822.666001,286.5102346,470.6939591,1943.145282,221.2281578,,0.66846,0.58756,0.47359,0.71478,0.72105,0.34060,0.80583,0.44000,0.72333
Hastings & Prince Edward District School Board,0.764,15095,,60319,21.45238,0.00000,20.23810,7.64286,151694000,6226000,14599000,28132000,4101000,,10049.28784,412.4544551,967.1414376,1863.663465,271.679364,,0.60807,0.53032,0.44194,0.68000,0.64143,0.26679,0.75143,0.40286,0.67000
Kawartha Pine Ridge District School Board,0.849,32930,,57921,18.94318,0.09091,14.86364,2.92046,319783287,10879291,21515088,54977732,9650393,,9711.001731,330.376283,653.3582751,1669.533313,293.0577892,,0.74279,0.66607,0.57508,0.78079,0.76762,0.39500,0.82462,0.49308,0.74308
Keewatin-Patricia District School Board,0.732,4820,,64046,17.94444,0.00000,11.16667,11.22222,67688000,4809000,5107000,15438000,2550000,,14043.15353,997.7178423,1059.543568,3202.904564,529.0456432,,0.64125,0.58875,0.51375,0.76667,0.75778,0.45111,0.63500,0.41000,0.52000
Lakehead District School Board,0.813,8820,,60855,14.44444,0.00000,19.59259,9.22222,100007000,5167000,6811000,25464000,2003000,,11338.66213,585.8276644,772.2222222,2887.07483,227.0975057,,0.70273,0.66182,0.50682,0.72950,0.70800,0.30600,0.82333,0.43667,0.79333
Lambton Kent District School Board,0.771,22030,,62075,19.43750,0.26563,17.68750,7.57813,210499050,7372662,13261857,40746085,5828880,,9555.108942,334.6646391,601.9907853,1849.572628,264.5882887,,0.70347,0.63592,0.52959,0.75900,0.76740,0.34900,0.72091,0.38250,0.66917
Limestone District School Board,0.848,19725,,62741,24.10345,0.00000,16.56897,4.08621,194937431,7599229,16240334,40262271,5751444,,9882.759493,385.2587579,823.3375919,2041.179772,291.5814449,,0.66553,0.53342,0.44026,0.69667,0.67024,0.29810,0.77000,0.45000,0.71222
Near North District School Board,0.806,9935,,57253,24.11111,0.00000,18.97222,5.52778,110468411,4194428,12160131,27179380,2778084,,11119.11535,422.1870156,1223.968898,2735.720181,279.6259688,,0.68909,0.61591,0.37091,0.79048,0.74667,0.27762,0.70333,0.38857,0.63857
Ottawa-Carleton District School Board,0.89,74695,,73836,19.10204,1.36735,18.24490,4.77551,714681578,20237048,41868519,,23254348,150856563,9567.997563,270.9290849,560.526394,0,311.3240244,2019.634018,0.72827,0.64337,0.54755,0.79239,0.79217,0.45565,0.83783,0.47417,0.81696
Peel District School Board,0.891,157620,,87086,15.28458,0.71146,19.16601,5.84190,1484462000,50151000,54657000,274982000,33905000,,9417.979952,318.1766273,346.76437,1744.58825,215.105951,,0.73337,0.67401,0.55843,0.81569,0.83382,0.47882,0.83594,0.37971,0.78629
Rainbow District School Board,0.75,13385,,62774,22.72340,0.00000,16.63830,4.19149,148375953,5284414,13962908,31631300,4586045,,11085.24117,394.8011954,1043.175794,2363.190138,342.6257004,,0.70667,0.65000,0.53074,0.75840,0.71800,0.36720,0.80000,0.35125,0.67556
Rainy River District School Board,0.805,2665,,56213,21.66667,0.00000,12.08333,7.00000,38876123,2471229,3301697,9227535,1233380,,14587.66341,927.2904315,1238.910694,3462.489681,462.8067542,,0.64714,0.59857,0.65571,0.75000,0.77429,0.37714,0.83000,0.42500,0.71333
Renfrew County District School Board,0.868,9110,,55384,18.92857,0.00000,14.67857,4.60714,101076735,4758562,8704369,19877896,2390760,,11095.14105,522.3448957,955.4740944,2181.986389,262.4324918,,0.73063,0.68813,0.58063,0.84882,0.77471,0.46118,0.79143,0.44571,0.71143
Simcoe County District School Board,0.833,52910,,70314,17.72549,0.80392,14.62745,5.18628,493097000,16324000,20274000,93783000,15335000,,9319.54262,308.5239085,383.1789832,1772.500473,289.8317898,,0.69435,0.61153,0.55209,0.79209,0.76407,0.43535,0.76429,0.42143,0.77214
Superior-Greenstone District School Board,0.714,1445,,72384,25.90909,0.00000,12.27273,12.27273,27798148,3121486,1774154,10507223,500534,,19237.47266,2160.197924,1227.788235,7271.434602,346.3903114,,0.67000,0.41500,0.45500,0.71000,0.67000,0.37667,0.63000,0.57667,0.52800
Thames Valley District School Board,0.796,78960,,57607,12.64375,1.18125,19.51250,8.13750,,,,,,,0,0,0,0,0,,0.62059,0.54500,0.51406,0.72101,0.70349,0.42923,0.77654,0.44720,0.65296
Toronto District School Board,0.842,246410,,68627,17.61796,2.22359,26.64085,9.16373,2616891000,83812000,67950000,264742000,42883000,321211000,10620.06818,340.1322998,275.7599123,1074.396331,174.0310864,1303.563167,0.75333,0.71806,0.60235,0.81054,0.82615,0.51955,0.70639,0.23477,0.77487
Trillium Lakelands District School Board,0.825,16765,,59709,29.37500,0.04167,17.62500,4.95833,160672000,6807000,17119000,29812000,5372000,,9583.775723,406.0244557,1021.115419,1778.228452,320.4294661,,0.65273,0.55546,0.50758,0.74206,0.70794,0.38118,0.88000,0.55143,0.65375
Upper Canada District School Board,0.858,27025,,55121,24.00000,0.37374,16.80808,4.06061,273087486,8602515,32397151,51233206,6026655,,10104.99486,318.3169288,1198.784496,1895.770805,223.0029602,,0.73628,0.65157,0.51941,0.79482,0.78500,0.36196,0.75476,0.42368,0.70909
Upper Grand District School Board,0.849,35255,,70379,17.17949,0.88462,12.06410,6.87180,332731404,11128138,20115248,59492541,10796554,,9437.850064,315.6470855,570.5644022,1687.492299,306.2417813,,0.70339,0.64077,0.50277,0.80885,0.78508,0.45393,0.89000,0.66455,0.76636
Waterloo Region District School Board,0.828,64925,,67698,19.90833,0.33333,15.74167,7.98333,604122011,16859761,18297274,38422078,13680371,61154052,9304.921232,259.6805699,281.821702,591.7917289,210.7103735,941.9183982,0.68418,0.61275,0.51341,0.77912,0.77451,0.45231,0.85313,0.51313,0.76625
York Region District School Board,0.927,126985,,90550,11.27488,2.61137,14.25592,3.82465,1214856965,40047226,42681510,225020528,34092357,,9566.932827,315.3697366,336.1145805,1772.024475,268.4754656,,0.79000,0.76513,0.67076,0.85590,0.87977,0.59775,0.87242,0.45697,0.87879
